Model,Training,type,Dataset,Epoch,criterion,optimizer,scheduler,Train_loss,Train_acc,val_loss,Val_acc,time,Elapse_time,date
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,0,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.429263473,0.864233315,0.085132137,0.972000003,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,1,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.134726554,0.961283326,0.058470514,0.98089999,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,2,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.097347178,0.972483337,0.054186426,0.981000006,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,3,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.07583902,0.977716684,0.038392019,0.987399995,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,4,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.067226872,0.98088336,0.034484249,0.988799989,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,5,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.059023365,0.982466638,0.034734532,0.989600003,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,s,6,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.052690126,0.984049976,0.031254835,0.990499973,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,7,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.04960838,0.985883355,0.029377401,0.9903,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,8,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.044964008,0.98756665,0.026865702,0.991999984,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,9,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.040043782,0.988066673,0.026564801,0.99150002,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,10,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.037582953,0.988349974,0.028738357,0.991699994,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,11,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.034097664,0.989650011,0.025423232,0.991699994,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,12,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.032718875,0.990183353,0.026143927,0.991900027,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,13,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.029699288,0.991050005,0.025492452,0.992299974,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,14,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.028710676,0.991450012,0.028654946,0.991999984,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,15,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.026978699,0.99181664,0.025847672,0.992799997,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,16,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.02487278,0.992066681,0.028145213,0.9921,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,17,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.024415337,0.992266655,0.027596939,0.992500007,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,18,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.022544868,0.993516684,0.028026169,0.992200017,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,19,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.020923855,0.993449986,0.024275323,0.992600024,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,20,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.022334062,0.99331665,0.028654205,0.99119997,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,21,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.01824265,0.99425,0.025163274,0.992900014,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,22,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.017593216,0.994483352,0.024767736,0.992900014,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,23,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.018446792,0.994166672,0.022315657,0.993099988,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,24,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.015697127,0.995199978,0.028437836,0.992799997,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,25,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.014722893,0.995350003,0.029364979,0.99150002,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,26,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.015998621,0.994966686,0.02884851,0.992299974,,,2021-10-28-13:27:09
<tensorflow.python.keras.engine.sequential.Sequential object at 0x7f1e6716ccd0>,8,tensorflow,hymenoptera,27,,<tensorflow.python.keras.optimizer_v2.gradient_descent.SGD object at 0x7f1e650aadf0>,,0.015667837,0.995199978,0.025965305,0.992600024,,,2021-10-28-13:27:09
